"Relative.Efficacy","Saved.lifes","Weeks","R.eff","Vaccine"
0.1,0.152861008217448,3,0.9,"CoronaVac"
0.2,0.164717421984192,3,0.9,"CoronaVac"
0.3,0.176592769394439,3,0.9,"CoronaVac"
0.4,0.188512577869666,3,0.9,"CoronaVac"
0.5,0.200378281619786,3,0.9,"CoronaVac"
0.6,0.212280101389216,3,0.9,"CoronaVac"
0.7,0.224143137936726,3,0.9,"CoronaVac"
0.8,0.236040257859145,3,0.9,"CoronaVac"
0.9,0.247948001907342,3,0.9,"CoronaVac"
0.1,0.105487864248468,7,0.9,"CoronaVac"
0.2,0.128813275845463,7,0.9,"CoronaVac"
0.3,0.152146343394629,7,0.9,"CoronaVac"
0.4,0.175487717640403,7,0.9,"CoronaVac"
0.5,0.19883281246095,7,0.9,"CoronaVac"
0.6,0.222174014550527,7,0.9,"CoronaVac"
0.7,0.245558561701063,7,0.9,"CoronaVac"
0.8,0.268841459331192,7,0.9,"CoronaVac"
0.9,0.292238569359794,7,0.9,"CoronaVac"
0.1,0.0518915191562286,12,0.9,"CoronaVac"
0.2,0.084784255563599,12,0.9,"CoronaVac"
0.3,0.117699540234476,12,0.9,"CoronaVac"
0.4,0.150626853867621,12,0.9,"CoronaVac"
0.5,0.183575526929876,12,0.9,"CoronaVac"
0.6,0.216536162086415,12,0.9,"CoronaVac"
0.7,0.249539620349273,12,0.9,"CoronaVac"
0.8,0.282481465953903,12,0.9,"CoronaVac"
0.9,0.315552081341928,12,0.9,"CoronaVac"
0.1,0.222405195922472,3,1,"CoronaVac"
0.2,0.234902867926774,3,1,"CoronaVac"
0.3,0.247261077483186,3,1,"CoronaVac"
0.4,0.259641900499031,3,1,"CoronaVac"
0.5,0.272030144575537,3,1,"CoronaVac"
0.6,0.284452812467425,3,1,"CoronaVac"
0.7,0.2968424174318,3,1,"CoronaVac"
0.8,0.309182865299752,3,1,"CoronaVac"
0.9,0.32163512109249,3,1,"CoronaVac"
0.1,0.172271524112338,7,1,"CoronaVac"
0.2,0.196671944591497,7,1,"CoronaVac"
0.3,0.221063079425638,7,1,"CoronaVac"
0.4,0.24550596335165,7,1,"CoronaVac"
0.5,0.269941213961798,7,1,"CoronaVac"
0.6,0.294368977759375,7,1,"CoronaVac"
0.7,0.318820438130688,7,1,"CoronaVac"
0.8,0.343295568642192,7,1,"CoronaVac"
0.9,0.36775054752327,7,1,"CoronaVac"
0.1,0.104698947854019,12,1,"CoronaVac"
0.2,0.140958874044063,12,1,"CoronaVac"
0.3,0.177255017610387,12,1,"CoronaVac"
0.4,0.213569304823361,12,1,"CoronaVac"
0.5,0.249907203323844,12,1,"CoronaVac"
0.6,0.286260596810491,12,1,"CoronaVac"
0.7,0.32264253339114,12,1,"CoronaVac"
0.8,0.35906666273641,12,1,"CoronaVac"
0.9,0.395485925406753,12,1,"CoronaVac"
0.1,0.270656250874003,3,1.1,"CoronaVac"
0.2,0.283269988359487,3,1.1,"CoronaVac"
0.3,0.295973190527846,3,1.1,"CoronaVac"
0.4,0.308640610707781,3,1.1,"CoronaVac"
0.5,0.321286652887725,3,1.1,"CoronaVac"
0.6,0.333936242972272,3,1.1,"CoronaVac"
0.7,0.346579115758987,3,1.1,"CoronaVac"
0.8,0.359297800891167,3,1.1,"CoronaVac"
0.9,0.371940493351262,3,1.1,"CoronaVac"
0.1,0.219104229293361,7,1.1,"CoronaVac"
0.2,0.24420820981985,7,1.1,"CoronaVac"
0.3,0.269317168360915,7,1.1,"CoronaVac"
0.4,0.294402867740932,7,1.1,"CoronaVac"
0.5,0.319564882103297,7,1.1,"CoronaVac"
0.6,0.344718348316505,7,1.1,"CoronaVac"
0.7,0.369813381449656,7,1.1,"CoronaVac"
0.8,0.39495183084217,7,1.1,"CoronaVac"
0.9,0.420101170141462,7,1.1,"CoronaVac"
0.1,0.139046269232232,12,1.1,"CoronaVac"
0.2,0.178057798596053,12,1.1,"CoronaVac"
0.3,0.217069388094794,12,1.1,"CoronaVac"
0.4,0.256105981267941,12,1.1,"CoronaVac"
0.5,0.295198508271589,12,1.1,"CoronaVac"
0.6,0.334314854046527,12,1.1,"CoronaVac"
0.7,0.373408810866976,12,1.1,"CoronaVac"
0.8,0.412548748612315,12,1.1,"CoronaVac"
0.9,0.451747749549229,12,1.1,"CoronaVac"
0.1,0.292849355379025,3,1.2,"CoronaVac"
0.2,0.305704437214507,3,1.2,"CoronaVac"
0.3,0.318594466905042,3,1.2,"CoronaVac"
0.4,0.331464729598895,3,1.2,"CoronaVac"
0.5,0.344415631856006,3,1.2,"CoronaVac"
