"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
109298.910841084,109298.910841084,109298.910841084,109298.910841084,109298.910841084,109298.910841084,109298.910841084,109298.910841084,109298.910841084,109298.910841084,109298.910841084,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,63,70,77,84,84,84,84,84,84,84,84,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,30208.6558525971,30375.6445429905,30538.4860089101,30683.0318420638,38978.7733519401,36907.3220443929,34832.6796120916,32757.8521342517,30683.0318420638,28607.0371558469,26525.9352716535
191273.093971897,191273.093971897,191273.093971897,191273.093971897,191273.093971897,191273.093971897,191273.093971897,191273.093971897,191273.093971897,191273.093971897,191273.093971897,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,63,70,77,84,84,84,84,84,84,84,84,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,30208.6558525971,30375.6445429905,30538.4860089101,30683.0318420638,36823.9165741209,34492.9526098566,32158.4372657741,29820.3919410734,27478.6912698423,25133.433563719,22784.6555805165
273247.277102709,273247.277102709,273247.277102709,273247.277102709,273247.277102709,273247.277102709,273247.277102709,273247.277102709,273247.277102709,273247.277102709,273247.277102709,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,63,70,77,84,84,84,84,84,84,84,84,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,30208.6558525971,30375.6445429905,30538.4860089101,30683.0318420638,36689.9723366713,34332.9765996847,31972.0288608853,29607.1234963836,27238.248670814,24865.3708230169,22488.5844006262
355221.460233522,355221.460233522,355221.460233522,355221.460233522,355221.460233522,355221.460233522,355221.460233522,355221.460233522,355221.460233522,355221.460233522,355221.460233522,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,63,70,77,84,84,84,84,84,84,84,84,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,30208.6558525971,30375.6445429905,30538.4860089101,30683.0318420638,36689.9707096429,34332.9762897313,31972.0285671539,29607.1231969197,27238.2508674245,24865.3797253897,22488.5786251305
437195.643364335,437195.643364335,437195.643364335,437195.643364335,437195.643364335,437195.643364335,437195.643364335,437195.643364335,437195.643364335,437195.643364335,437195.643364335,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,21,21,21,21,21,21,21,21,21,21,21,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,31076.145348248,30149.4502915043,29222.0546214113,28293.9552262971,27365.1511376334,26435.6422701075,25505.428441568,24574.5081473157,23642.8808399411,22710.5452133531,21777.5013706905
