"reff0","POP.S1","POP.S2","POP.S3","POP.E1","POP.E2","POP.E3","POP.A1","POP.A2","POP.A3","POP.I1","POP.I2","POP.I3","POP.H1","POP.H2","POP.H3","POP.R1","POP.R2","POP.R3","POP.D1","POP.D2","POP.D3","POP.Sv1","POP.Sv2","POP.Sv3","POP.Ev1","POP.Ev2","POP.Ev3","POP.Av1","POP.Av2","POP.Av3","POP.Iv1","POP.Iv2","POP.Iv3","POP.Hv1","POP.Hv2","POP.Hv3","POP.Rv1","POP.Rv2","POP.Rv3","POP.Dv1","POP.Dv2","POP.Dv3","POP.Sw1","POP.Sw2","POP.Sw3","POP.Ew1","POP.Ew2","POP.Ew3","POP.Aw1","POP.Aw2","POP.Aw3","POP.Iw1","POP.Iw2","POP.Iw3","POP.Hw1","POP.Hw2","POP.Hw3","POP.Rw1","POP.Rw2","POP.Rw3","POP.Dw1","POP.Dw2","POP.Dw3","VAX"
0.9,7204892.70289176,16474263.6074515,5489187.37090218,338.913937373334,895.626125303046,126.120961627839,434.569867132242,744.463989331348,67.514060042533,214.041874856179,947.499622785352,150.273230417251,0.596651545170628,21.9237431223047,21.8823663963249,4959308.25030727,10367572.918527,1762529.88545158,69.9244700620036,6647.96054091841,20896.9530277557,0,0,467.31471750359,0,0,0.0107371415060128,0,0,0.00574772033898029,0,0,0.012793313012569,0,0,0.00186292636411223,0,0,531.296013437297,0,0,1.35812795789121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311586.93009301
1,6623847.36156519,14967895.976731,5270387.76269388,843.613771082764,2190.55507458769,326.808706495912,1071.43785931314,1803.6284445007,173.267217772379,527.723124736321,2295.5271111827,385.65929117078,1.47220545930834,53.156465255235,56.2031267970117,5538871.26637169,11867346.8086852,1971676.43498767,96.1251025259712,9508.34748825242,29973.8639762168,0,0,448.687501817391,0,0,0.0278224276262499,0,0,0.0147508757589628,0,0,0.0328325944312398,0,0,0.00478477897496953,0,0,549.10142872179,0,0,2.13087878402819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311586.93009301
1.1,5905840.23533214,13135991.2104303,4985958.44423649,956.591239616005,2425.43041503983,391.482689859707,1246.88499251643,2049.61289399989,213.005066771288,614.137384373764,2608.59822872713,474.108051845771,1.7096798346154,60.2790167110921,68.9483190483824,6256470.87847144,13694965.2092137,2244078.97670024,128.56290008167,12993.6598015366,41795.0349357409,0,0,424.472987423285,0,0,0.0333283617879611,0,0,0.0181339050535292,0,0,0.0403625628610811,0,0,0.00586982408529874,0,0,572.292059360938,0,0,3.13725856198861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311586.93009301
1.2,5172574.05073129,11305095.0690984,4677027.03982998,592.202178264618,1462.00307635933,258.341181684548,810.039543329518,1296.46206465855,147.510692914193,398.974700445882,1650.04262774724,328.3302519703,1.10619502203107,37.9744478535683,47.5547065962824,6990720.87666281,15525069.0872589,2540513.35813435,161.749988834901,16483.3614260651,54657.8652025045,0,0,398.172520300683,0,0,0.0219935353233563,0,0,0.012558128030623,0,0,0.0279519623907416,0,0,0.00404850714275262,0,0,597.528608937031,0,0,4.23231862939915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311586.93009301
1.3,4501393.82026122,9667296.68174875,4374398.04982673,255.929255968709,615.091236582511,119.445509759756,371.323814656672,578.540475435139,72.3475970013624,182.890834084629,736.324241462904,161.031748164323,0.504444444060759,16.8578263527618,23.2020625880903,7662862.40192181,17162245.3561445,2830945.85334054,192.129467816734,19605.148326944,67260.0699152203,0,0,372.408600904992,0,0,0.0101688357271868,0,0,0.00615921712454,0,0,0.0137092252126858,0,0,0.00197527695653593,0,0,622.254195855525,0,0,5.30519068446207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311586.93009301
1.4,3914120.04465122,8265684.58770994,4090316.02416572,92.3598869917085,216.291689386519,46.1607500603368,142.839483614423,216.848457047004,29.8043336351304,70.3537755115815,275.98894533255,66.3386780910968,0.192892567015644,6.28104223685471,9.50137128401302,8250614.51382484,18562418.9050408,3103428.47639004,218.695485259584,22275.0971152711,79083.6943111681,0,0,348.223652824453,0,0,0.00392983449399992,0,0,0.00253735258279386,0,0,0.00564765574879923,0,0,0.000808886696238356,0,0,645.451644113533,0,0,6.31177933249227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311586.93009301
